6,130,1
8,5,25
6,13,9
2,8,24
8,24,14
4,10,3
5,20,8
2,9,19
6,3,16
4,10,22
8,6,15
5,12,20
3,5,27
6,7,32
5,10,23
8,10,21
7,5,8
4,132,1
7,5,30
8,10,13
3,9,6
4,7,16
4,7,35
9,16,21
6,19,15
5,7,24
7,7,21
6,13,4
3,4,20
3,7,34
5,8,7
5,6,26
2,4,16
3,11,29
3,6,26
4,13,26
4,4,8
5,14,2
1,5,11
8,6,36
4,9,24
5,7,27
4,6,8
8,38,4
10,14,5
7,10,13
8,18,3
9,16,7
3,6,28
6,4,17
4,8,37
1,9,24
8,5,26
10,135,1
2,8,21
5,7,42
4,5,4
4,6,14
5,8,21
6,53,6
5,14,8
4,9,47
