2012-07-17,"Brand","Dr. Mundo","Ezreal","Galio","Graves","Kassadin","Mordekaiser","Singed","Soraka","Wukong"
2012-07-24,"Annie","Fiddlesticks","Gangplank","Lulu","Jayce","Malphite","Nocturne","Skarner","Urgot","Vayne"
2012-07-31,"Alistar","Caitlyn","Corki","Gragas","Irelia","Karthus","Ryze","Sejuani","Tryndamere","Zilean"
2012-08-07,"Ashe","Evelynn","Garen","Hecarim","Heimerdinger","Rammus","Shen","Sona","Varus","Viktor"
2012-08-14,"Amumu","Cho'Gath","Lee Sin","Nasus","Sivir","Soraka","Twitch","Udyr","Veigar","Zyra"
2012-08-21,"Annie","Diana","Galio","Janna","Kassadin","Miss Fortune","Nunu","Singed","Twisted Fate","Xin Zhao"
2012-08-28,"Ahri","Graves","Katarina","Kennen","Leona","Master Yi","Malphite","Taric","Teemo","Volibear"
2012-09-04,"Alistar","Caitlyn","Darius","Lulu","Lux","Rengar","Ryze","Sejuani","Talon","Vayne"
2012-09-11,"Annie","Cho'Gath","Corki","Dr. Mundo","Janna","Jarvan IV","Mordekaiser","Riven","Varus","Vladimir"
2012-09-18,"Amumu","Blitzcrank","Jax","Miss Fortune","Morgana","Soraka","Twisted Fate","Udyr","Warwick","Zilean"
2012-09-25,"Anivia","Ashe","Hecarim","Nasus","Nautilus","Ryze","Singed","Sivir","Syndra","Taric"
2012-10-02,"Galio","Irelia","Karthus","Kayle","Malphite","Master Yi","Sion","Teemo","Urgot","Xin Zhao"
2012-10-09,"Amumu","Fiddlesticks","Jax","Kog'Maw","Lux","Nunu","Pantheon","Soraka","Tryndamere","Twitch"
2012-10-16,"Annie","Corki","Ezreal","Gangplank","Kassadin","Kennen","Kha'Zix","Leona","Sona","Volibear"
2012-10-23,"Alistar","Cho'Gath","Dr. Mundo","Janna","Katarina","Miss Fortune","Skarner","Vayne","Viktor","Ziggs"
2012-10-30,"Ashe","Blitzcrank","Galio","Lulu","Morgana","Olaf","Riven","Singed","Sivir","Talon"
2012-11-06,"Amumu","Anivia","Annie","Caitlyn","Corki","Nautilus","Renekton","Sejuani","Taric","Yorick"
2012-11-13,"Ashe","Elise","Fiddlesticks","Jax","Lux","Maokai","Twitch","Vladimir","Volibear","Wukong"
2012-11-20,"Cho'Gath","Dr. Mundo","Gangplank","Janna","Karthus","Kog'Maw","Malphite","Shyvana","Teemo","Ziggs"
2012-11-27,"Amumu","Blitzcrank","Evelynn","Leona","Miss Fortune","Riven","Udyr","Vayne","Warwick","Xerath"
2012-12-04,"Brand","Caitlyn","Graves","Jarvan IV","Morgana","Nasus","Rammus","Sona","Twisted Fate","Zed"
2012-12-11,"Akali","Gragas","Jax","Kassadin","Nautilus","Nidalee","Singed","Taric","Urgot","Vladimir"
2012-12-18,"Cho'Gath","Dr. Mundo","Irelia","Kog'Maw","Lux","Mordekaiser","Soraka","Swain","Teemo","Twitch"
2012-12-25,"Amumu","Ashe","Corki","Hecarim","Nunu","Orianna","Udyr","Viktor","Xerath","Xin Zhao"
2013-01-01,"Anivia","Galio","Gangplank","Janna","Lee Sin","Morgana","Nami","Nocturne","Rammus","Varus"
2013-01-08,"Blitzcrank","Evelynn","Ezreal","LeBlanc","Renekton","Rumble","Sejuani","Singed","Taric","Zyra"
2013-01-15,"Ahri","Brand","Fiddlesticks","Jax","Kog'Maw","Leona","Malphite","Nasus","Urgot","Vi"
2013-01-22,"Ashe","Cho'Gath","Karthus","Lux","Miss Fortune","Shyvana","Sion","Skarner","Sona","Wukong"
2013-01-29,"Corki","Dr. Mundo","Katarina","Lulu","Malzahar","Maokai","Riven","Sivir","Tryndamere","Ziggs"
2013-02-05,"Amumu","Annie","Graves","Janna","Kayle","Nautilus","Ryze","Udyr","Viktor","Xin Zhao"
2013-02-12,"Fiora","Gangplank","Kassadin","Master Yi","Nunu","Singed","Teemo","Thresh","Twitch","Zyra"
2013-02-19,"Ezreal","Fiddlesticks","Galio","Garen","Gragas","Morgana","Shen","Soraka","Talon","Trundle"
2013-02-26,"Anivia","Ashe","Brand","Caitlyn","Jax","Olaf","Rammus","Taric","Volibear","Wukong"
2013-03-05,"Cho'Gath","Corki","Janna","Karthus","Mordekaiser","Nasus","Skarner","Varus","Veigar","Warwick"
2013-03-12,"Ahri","Jarvan IV","Kennen","Lulu","Malphite","Miss Fortune","Nocturne","Shyvana","Swain","Twisted Fate"
2013-03-19,"Gangplank","Irelia","Kayle","Pantheon","Quinn","Sejuani","Soraka","Twitch","Vladimir","Xerath"
2013-03-26,"Akali","Annie","Fizz","Kha'Zix","Kog'Maw","Nautilus","Riven","Sivir","Sona","Vayne"
2013-04-02,"Amumu","Diana","Draven","Graves","Lux","Nasus","Nidalee","Orianna","Renekton","Zilean"
2013-04-09,"Blitzcrank","Caitlyn","Ezreal","Katarina","Leona","Malzahar","Master Yi","Nami","Ryze","Udyr"
2013-04-16,"Ashe","Karma","Karthus","Lee Sin","Maokai","Morgana","Teemo","Wukong","Zac","Zyra"
2013-04-23,"Dr. Mundo","Fiddlesticks","Miss Fortune","Rammus","Shen","Thresh","Twitch","Veigar","Xin Zhao","Zed"
2013-04-30,"Anivia","Ashe","Gragas","Janna","Nunu","Olaf","Quinn","Tryndamere","Udyr","Volibear"
2013-05-07,"Annie","Cassiopeia","Corki","Darius","Jayce","Kog'Maw","Lulu","Sejuani","Taric","Trundle"
2013-05-14,"Caitlyn","Elise","Galio","Heimerdinger","Lissandra","Nocturne","Rengar","Shaco","Sivir","Sona"
2013-05-21,"Evelynn","Malphite","Mordekaiser","Rumble","Soraka","Syndra","Talon","Urgot","Varus","Vi"
2013-05-28,"Cho'Gath","Ezreal","Garen","Graves","Leona","Nasus","Skarner","Viktor","Ziggs","Zilean"
2013-06-04,"Amumu","Brand","Hecarim","LeBlanc","Miss Fortune","Nami","Nidalee","Pantheon","Singed","Twitch"
2013-06-11,"Ahri","Ashe","Fiora","Janna","Kassadin","Rammus","Shyvana","Vayne","Xin Zhao","Zyra"
2013-06-18,"Blitzcrank","Caitlyn","Gangplank","Jarvan IV","Jax","Quinn","Taric","Vladimir","Warwick","Xerath"
2013-06-25,"Draven","Irelia","Karma","Lux","Maokai","Renekton","Ryze","Sivir","Twisted Fate","Zac"
2013-07-02,"Aatrox","Akali","Dr. Mundo","Ezreal","Master Yi","Miss Fortune","Morgana","Orianna","Sona","Swain"
2013-07-09,"Katarina","Kennen","Kog'Maw","Leona","Nunu","Riven","Teemo","Trundle","Varus","Wukong"
2013-07-16,"Corki","Graves","Jayce","Karthus","Malphite","Malzahar","Olaf","Soraka","Volibear","Zed"
2013-07-23,"Ashe","Diana","Fiddlesticks","Fizz","Kha'Zix","Nidalee","Shen","Thresh","Twitch","Udyr"
2013-07-30,"Annie","Fiora","Leona","Nami","Nautilus","Sejuani","Shyvana","Sivir","Vayne","Veigar"
2013-08-06,"Anivia","Caitlyn","Cho'Gath","Garen","Jax","Lissandra","Lulu","Mordekaiser","Taric","Urgot"
2013-08-13,"Amumu","Blitzcrank","Darius","Miss Fortune","Orianna","Quinn","Tryndamere","Vi","Ziggs","Zilean"
2013-08-20,"Ezreal","Gragas","Janna","Nasus","Rumble","Sivir","Skarner","Sona","Viktor","Zyra"
2013-08-27,"Ahri","Draven","Kog'Maw","LeBlanc","Lux","Nocturne","Rammus","Singed","Soraka","Vladimir"
2013-09-03,"Evelynn","Galio","Graves","Kassadin","Kayle","Nami","Renekton","Rengar","Thresh","Varus"
2013-09-10,"Cassiopeia","Elise","Janna","Leona","Lucian","Rengar","Riven","Twisted Fate","Twitch","Xin Zhao"
2013-09-17,"Aatrox","Ashe","Brand","Karma","Lulu","Sejuani","Talon","Trundle","Vayne","Warwick"
2013-09-24,"Akali","Blitzcrank","Caitlyn","Malphite","Master Yi","Miss Fortune","Pantheon","Ryze","Taric","Zed"
2013-10-01,"Heimerdinger","Kennen","Morgana","Quinn","Shyvana","Sivir","Soraka","Syndra","Volibear","Zyra"
2013-10-08,"Cho'Gath","Corki","Ezreal","Jarvan IV","Katarina","Lee Sin","Malzahar","Nami","Sona","Wukong"
